region,inat_place_id,taxon_group,animal_species,animal_common,taxon_id,observation_count,fetched_on,source
"Dallas County, TX",1281,Lepidoptera,Amyelois transitella,Navel Orangeworm Moth,347144,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Amyna bullula,Hook-tipped Amyna Moth,452562,6,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Amyna stricta,Eight-spot Moth,514851,77,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anacampsis comparanda,,1155665,2,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anacampsis conclusella,,213495,3,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anacampsis fullonella,,325382,171,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anacampsis levipedella,Silver-dashed anacampsis,416945,14,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anaea andria,Goatweed Leafwing,81561,299,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anageshna primordialis,Yellow-spotted Webworm Moth,213510,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anagrapha falcifera,Celery Looper Moth,59300,12,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anatrytone logan,Delaware Skipper,58509,34,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anavitrinella atristrigaria,Gulf Coast Gray,204067,7,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anavitrinella pampinaria,North American Common Gray,63750,3,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Ancylis comptana,Strawberry Leafroller Moth,213563,21,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Ancylis divisana,Two-toned Ancylis Moth,213565,3,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Ancylis muricana,Red-headed Ancylis Moth,213572,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Ancylis virididorsana,,1367810,3,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Ancyloxypha numitor,Least Skipper,58481,25,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anderida peorinella,,512576,2,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anicla infecta,Green Cutworm Moth,213631,493,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anisota discolor,Texas Pink-striped Oakworm Moth,509992,2,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anisota stigma,Spiny Oakworm Moth,81585,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anisota virginiensis,Pink-striped Oakworm Moth,81584,31,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anomis erosa,Yellow Scallop Moth,213714,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anomis illita,Okra Leafworm Moth,330376,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Antaeotricha humilis,Dotted Antaeotricha Moth,325898,2,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Antaeotricha leucillana,Pale Gray Bird-dropping Moth,208064,14,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Antaeotricha schlaegeri,Schlaeger's Fruitworm Moth,213740,3,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anteos maerula,Yellow Angled-Sulphur,48578,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anthanassa texana,Texan Crescent,132339,24,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Antheraea polyphemus,Polyphemus Moth,47919,312,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anthocharis midea,Falcate Orangetip,69844,19,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anticarsia gemmatalis,Velvetbean Caterpillar Moth,213809,58,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Anticlea multiferata,Many-lined Carpet Moth,215210,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Antigastra catalaunalis,Sesame Leafroller,52041,3,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Apantesis arge,Arge Moth,606563,58,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Apantesis doris,Doris Tiger Moth,606566,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Apantesis figurata,Figured Tiger Moth,606572,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Apantesis incorrupta,Immaculate Tiger Moth,606576,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Apantesis parthenice,Parthenice Tiger Moth,606575,16,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Apantesis phalerata,Harnessed Tiger Moth,135318,2,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Apoda biguttata,Shagreened Slug Moth,214013,2,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Apoda y-inversa,Yellow-collared Slug Moth,1094574,114,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Apogeshna stenialis,Checkered Apogeshna Moth,321799,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Aproaerema palpilineella,,791098,3,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Archips argyrospila,Fruit-tree Leafroller Moth,214078,238,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Archips grisea,Gray Archips Moth,417048,112,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Archips semiferanus,Oak Leafroller Moth,465083,6,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Archirhoe neomexicana,New Mexico Carpet Moth,346542,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Argyresthia alternatella,Juniper Seed Moth,214129,4,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Argyresthia austerella,,214133,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Argyria gonogramma,Northern Milky Argyria Moth,1008011,14,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Argyrogramma verruca,Golden Looper Moth,214144,6,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Argyrostrotis anilis,Short-lined Chocolate,214147,19,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Argyrotaenia quercifoliana,Yellow-winged Oak Leafroller Moth,128790,3,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Aristotelia corallina,Acacia Aristotelia,367834,13,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Aristotelia elegantella,Elegant Aristotelia,477160,18,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Aristotelia roseosuffusella,Pink-washed Aristotelia Moth,215215,14,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Aroga compositella,Six-spotted Aroga Moth,324661,16,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Arta olivalis,Olive Arta Moth,324634,54,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Ascalapha odorata,Black Witch,61503,77,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Aspila packardi,Cherry Fruitworm Moth,1507300,16,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Asterocampa celtis,Hackberry Emperor,68264,1800,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Asterocampa clyton,Tawny Emperor,58587,764,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Atalopedes huron,Huron Skipper,1455248,699,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Athetis tarda,Slowpoke Moth,214552,3,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Atlides halesus,Great Purple Hairstreak,59128,189,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Atteva aurea,Ailanthus Webworm Moth,116681,827,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Automeris io,Io Moth,82279,162,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Autosticha kyotensis,Kyoto Moth,214687,20,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Azenia obtusa,Obtuse Yellow,202013,11,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Bactra verutana,Javelin Moth,214759,62,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Bagisara repanda,Wavy-lined Mallow Moth,330374,4,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Baileya australis,Small Baileya Moth,215225,18,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Battaristis concinnusella,Music-loving Moth,452993,13,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Battaristis nigratomella,Black-faced Twirler Moth,214954,2,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Battaristis vittella,Orange Stripe-backed Moth,342593,2,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Battus philenor,Pipevine Swallowtail,49972,1019,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Bedellia somnulentella,Morning-glory Leafminer Moth,214958,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Blastobasis glandulella,Acorn Moth,215243,37,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Blepharomastix ranalis,Hollow-spotted Blepharomastix Moth,143484,146,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Bleptina caradrinalis,Bent-winged Owlet,215271,39,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Brephidium exilis,Western Pygmy-Blue,53843,5,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Bucculatrix coronatella,Crowned Bucculatrix Moth,215501,4,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Bucculatrix longula,,477546,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Bulia deducta,Deduced Graphic,215591,67,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Burnsius albezens,White Checkered-Skipper,1457202,3,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Burnsius communis,Common Checkered-Skipper,1038408,156,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Burnsius oileus,Tropical Checkered-Skipper,1038409,4,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Cacotherapia flexilinealis,,738331,16,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Caenurgia chloropha,Vetch Looper Moth,69669,24,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Caenurgina crassiuscula,Clover Looper Moth,52900,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Caenurgina erechtea,Forage Looper Moth,126640,241,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Cagiva cephalanthana,,942760,5,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Calliprora sexstrigella,,367282,13,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Callizzia amorata,Gray Scoopwing,174566,2,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Callophrys gryneus,Juniper Hairstreak,84239,68,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Callophrys henrici,Henry's Elfin,127303,11,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Callopistria floridensis,Florida Fern Moth,143649,13,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Caloptilia belfragella,Dogwood Caloptilia Moth,464903,1,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Caloptilia blandella,Walnut Caloptilia Moth,342492,7,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Caloptilia rhoifoliella,Sumac Leaf Blotch Miner Moth,215898,2,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Caloptilia stigmatella,Willow Leafcone Caterpillar Moth,215900,2,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
"Dallas County, TX",1281,Lepidoptera,Caloptilia triadicae,Chinese Tallow Leaf Miner,467166,134,2026-09-25,"api.inaturalist.org species_counts (place_id, research grade, wild)"
