id,common_name,botanical_name,growth_shape,growing_season_months,flowering_season_months,flower_color,foliage_color_spring,foliage_color_summer,foliage_color_fall,foliage_color_winter,sun_pref,water_pref,soil_pref,width_ft,height_ft,inflorescence,flower_count_hint,flower_zone,fruit_color,fruit_season_months,fruit_load,usda_symbol,usda_scientific_name_full,usda_growth_habit,usda_native_status,usda_growth_form,usda_shape_and_orientation,usda_foliage_texture,usda_foliage_porosity_summer,usda_foliage_porosity_winter,usda_leaf_retention,usda_flower_conspicuous,usda_fruit_conspicuous,usda_fall_conspicuous,usda_bloom_period,usda_active_growth_period,usda_fruit_seed_period_begin,usda_fruit_seed_period_end,usda_height_mature_ft,usda_shade_tolerance,usda_drought_tolerance,usda_moisture_use,usda_soil_coarse,usda_soil_medium,usda_soil_fine,usda_ph_min,usda_ph_max,npsot_dfw_recommended
little-barley,little barley,Hordeum pusillum,grass,3-5,5,#e8d24a,,#5b7a4b,,,full-sun,medium,"loamy,clay",,1.2,,,,#6b5a4a,3-8,moderate,HOPU,Hordeum pusillum Nutt.,Graminoid,CAN:N|L48:N,Bunch,Erect,Medium,Moderate,Porous,No,No,No,No,Late Spring,Spring,Spring,Summer,1.2,High,Low,Medium,No,Yes,Yes,6.2,8.0,no
st-peterswort,St. Peterswort,Hypericum crux-andreae,vase,3-8,7,#e8d24a,,#5b7a4b,,,part-sun,medium,"sandy,loamy",,2,,,,#6b5a4a,6-11,moderate,HYCR3,Hypericum crux-andreae (L.) Crantz,Shrub,L48:N,Single Crown,Erect,Medium,Porous,Porous,No,Yes,No,No,Mid Summer,Spring and Summer,Summer,Fall,2.0,Medium,Medium,Medium,Yes,Yes,No,4.6,7.0,no
orangegrass,orangegrass,Hypericum gentianoides,mound,3-11,5,#e8d24a,,#5b7a4b,,,part-sun,low,"sandy,loamy",,2,,,,#3a3a34,6-11,heavy,HYGE,"Hypericum gentianoides (L.) Britton, Sterns & Poggenb.",Forb/herb,CAN:N|L48:N,Single Crown,Erect,Fine,Porous,Porous,No,Yes,No,No,Late Spring,"Spring, Summer, Fall",Summer,Fall,2.0,Medium,Medium,Low,Yes,Yes,No,4.6,7.0,no
common-goldstar,common goldstar,Hypoxis hirsuta,mound,3-5,3,#e8d24a,,#5b7a4b,,,part-sun,medium,"loamy,clay",,0.8,,,,#3a3a34,3-8,light,HYHI2,Hypoxis hirsuta (L.) Coville,Forb/herb,CAN:N|L48:N,Single Crown,Erect,Coarse,Porous,Porous,No,Yes,No,No,Early Spring,Spring,Spring,Summer,0.8,Medium,Medium,Medium,No,Yes,Yes,5.2,7.3,no
spring-spiderlily,spring spiderlily,Hymenocallis liriosme,mound,3-5,4,#f1f1e2,,#5b7a4b,,,full-sun,medium,"loamy,clay",,3,,,,#5b7a4b,3-8,moderate,HYLI,Hymenocallis liriosme (Raf.) Shinners,Forb/herb,L48:N,Bunch,Erect,Coarse,Porous,Porous,No,Yes,No,No,Mid Spring,Spring,Spring,Summer,3.0,High,Low,Medium,No,Yes,Yes,5.5,9.0,no
singlewhorl-burrobrush,singlewhorl burrobrush,Hymenoclea monogyra,vase,,3-5,#f1f1e2,,#5b7a4b,,,,high,"sandy,loamy",,2,,,,#f1f1e2,3-11,,HYMO,Hymenoclea monogyra Torr. & A. Gray,Shrub,L48:N,,Erect,Coarse,,,No,No,No,No,Spring,,Spring,Fall,2.0,,High,,Yes,Yes,No,6.1,7.9,no
dwarf-st-johnswort,dwarf St. Johnswort,Hypericum mutilum,mound,6-8,7,#e8d24a,,#5b7a4b,,,part-sun,medium,"loamy,clay",,2.6,,,,#6b5a4a,6-11,moderate,HYMU,Hypericum mutilum L.,Forb/herb,CAN:N|HI:I|L48:N,Single Crown,Semi-Erect,Medium,Porous,Porous,No,No,No,No,Mid Summer,Summer,Summer,Fall,2.6,Medium,None,Medium,No,Yes,Yes,4.6,7.2,no
spotted-st-johnswort,spotted St. Johnswort,Hypericum punctatum,mound,6-8,6,#e8d24a,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,3,,,,#6b5a4a,6-8,moderate,HYPU,Hypericum punctatum Lam.,Forb/herb,CAN:N|L48:N,Single Crown,Erect,Coarse,Moderate,Porous,No,Yes,No,No,Early Summer,Summer,Summer,Summer,3.0,Low,Low,Medium,Yes,Yes,Yes,4.6,7.0,no
large-gallberry,large gallberry,Ilex coriacea,vase,3-8,5,#f1f1e2,,,,,shade,high,"loamy,clay",,12,,,,#3a3a34,6-11,heavy,ILCO,Ilex coriacea (Pursh) Chapm.,Shrub,L48:N,Thicket Forming,Erect,Medium,Dense,Dense,Yes,No,Yes,Yes,Late Spring,Spring and Summer,Summer,Fall,12.0,Low,Low,High,No,Yes,Yes,5.5,6.7,no
possumhaw,possumhaw,Ilex decidua,vase,3-8,3-5,#e8d24a,,,,,shade,medium,"sandy,loamy,clay",,33,,,,#b3261e,6-11,heavy,ILDE,Ilex decidua Walter,Shrub,L48:N,Multiple Stem,Erect,Medium,Dense,Moderate,No,No,Yes,No,Spring,Spring and Summer,Summer,Fall,33.0,Low,Medium,Medium,Yes,Yes,Yes,3.5,6.5,yes
american-holly,American holly,Ilex opaca,vase,3-8,4,#e8d24a,,#5b7a4b,,,shade,medium,"sandy,loamy",,40,,,,#b3261e,6-11,light,ILOP,Ilex opaca Aiton,Shrub,L48:N,Single Stem,Erect,Coarse,Dense,Dense,Yes,No,Yes,Yes,Mid Spring,Spring and Summer,Summer,Fall,40.0,Low,Medium,Medium,Yes,Yes,No,4.5,7.0,no
yaupon,yaupon,Ilex vomitoria,vase,3-8,4,#f1f1e2,,#5b7a4b,,,part-sun,low,"sandy,loamy",,25,,,,#b3261e,,moderate,ILVO,Ilex vomitoria Aiton,Shrub,L48:N,Multiple Stem,Erect,Coarse,Moderate,Moderate,Yes,No,Yes,Yes,Mid Spring,Spring and Summer,,,25.0,Medium,High,Low,Yes,Yes,No,4.5,7.0,yes
jewelweed,jewelweed,Impatiens capensis,mound,6-8,,#e8d24a,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,4.9,,,,#6b5a4a,6-11,moderate,IMCA,Impatiens capensis Meerb.,Forb/herb,CAN:N|L48:N|SPM:N,Single Crown,Erect,Medium,Moderate,Porous,No,No,No,No,Indeterminate,Summer,Summer,Fall,4.9,Low,Low,Medium,Yes,Yes,Yes,6.4,7.4,no
copper-iris,copper iris,Iris fulva,mound,3-5,4,#b3261e,,#5b7a4b,,,shade,high,"loamy,clay",,3.3,,,,#5b7a4b,3-8,heavy,IRFU,Iris fulva Ker Gawl.,Forb/herb,L48:N,Rhizomatous,Erect,Medium,Moderate,Porous,No,Yes,No,No,Mid Spring,Spring,Spring,Summer,3.3,Low,Low,High,No,Yes,Yes,5.0,8.5,no
virginia-iris,Virginia iris,Iris virginica,mound,3-5,3-5,#5b7ea3,,#5b7a4b,,,shade,high,"loamy,clay",,3.3,,,,#3a3a34,6-11,light,IRVI,Iris virginica L.,Forb/herb,CAN:N|L48:N,Rhizomatous,Erect,Coarse,Porous,Porous,No,Yes,No,No,Spring,Spring,Summer,Fall,3.3,Low,None,High,No,Yes,Yes,4.8,7.3,no
tapertip-rush,tapertip rush,Juncus acuminatus,grass,3-8,3-5,#8f6fb3,,#5b7a4b,,,part-sun,high,"sandy,loamy,clay",,3,,,,#6b5a4a,6-8,moderate,JUAC,Juncus acuminatus Michx.,Graminoid,CAN:N|HI:I|L48:N,Bunch,Erect,Medium,Porous,Porous,No,No,No,No,Spring,Spring and Summer,Summer,Summer,3.0,Medium,Low,High,Yes,Yes,Yes,4.4,7.2,no
american-water-willow,American water-willow,Justicia americana,mound,3-5,5,#f1f1e2,,,,,shade,medium,"sandy,loamy,clay",,2.5,,,,#6b5a4a,3-11,moderate,JUAM,Justicia americana (L.) Vahl,Forb/herb,CAN:N|L48:N,Rhizomatous,Erect,Fine,,,No,Yes,No,No,Late Spring,Spring,Spring,Fall,2.5,Low,Low,Medium,Yes,Yes,Yes,5.4,7.6,no
whiteroot-rush,whiteroot rush,Juncus brachycarpus,grass,3-8,5,#5b7a4b,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,3,,,,#6b5a4a,6-8,heavy,JUBR,Juncus brachycarpus Engelm.,Graminoid,CAN:N|L48:N,Rhizomatous,Erect,Fine,Moderate,Porous,No,No,No,No,Late Spring,Spring and Summer,Summer,Summer,3.0,Medium,Low,Medium,Yes,Yes,Yes,4.5,6.7,no
toad-rush,toad rush,Juncus bufonius,grass,3-11,3-5,#5b7a4b,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,1,,,,#6b5a4a,6-11,heavy,JUBU,Juncus bufonius L.,Graminoid,AK:N|CAN:N|HI:I|L48:N|SPM:N,Bunch,Semi-Erect,Fine,Porous,Porous,No,No,No,No,Spring,"Spring, Summer, Fall",Summer,Fall,1.0,High,Low,Medium,Yes,Yes,Yes,4.6,7.6,no
forked-rush,forked rush,Juncus dichotomus,grass,3-11,6,#5b7a4b,,#b3261e,,,part-sun,medium,"sandy,loamy",,2.9,,,,#6b5a4a,6-11,light,JUDI,Juncus dichotomus Elliott,Graminoid,L48:N|PR:N,Bunch,Erect,Coarse,Dense,Porous,No,No,No,No,Early Summer,"Spring, Summer, Fall",Summer,Fall,2.9,Medium,Low,Medium,Yes,Yes,No,4.5,6.5,no
common-rush,common rush,Juncus effusus,grass,3-5,6-8,#6b5a4a,,,,,full-sun,medium,"sandy,loamy,clay",,6.6,,,,#e8d24a,6-11,moderate,JUEF,Juncus effusus L.,Graminoid,AK:N|CAN:N|HI:I|L48:N|SPM:N,Bunch,Erect,Coarse,Moderate,Porous,No,No,No,No,Summer,Spring,Summer,Fall,6.6,High,Medium,Medium,Yes,Yes,Yes,5.5,8.8,no
inland-rush,inland rush,Juncus interior,grass,3-8,5,#5b7a4b,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,3,,,,#6b5a4a,6-8,light,JUIN2,Juncus interior Wiegand,Graminoid,CAN:N|L48:N,Bunch,Erect,Medium,Moderate,Porous,No,No,No,No,Late Spring,Spring and Summer,Summer,Summer,3.0,Medium,Low,Medium,Yes,Yes,Yes,5.7,7.0,no
arizona-walnut,Arizona walnut,Juglans major,tree,3-8,5,#6b5a4a,,,,,full-sun,medium,"sandy,loamy",,50,,,,#6b5a4a,9-12,moderate,JUMA,Juglans major (Torr.) A. Heller,Tree,L48:N,Single Stem,Erect,Coarse,Moderate,Porous,No,No,Yes,Yes,Late Spring,Spring and Summer,Fall,Winter,50.0,High,Medium,Medium,Yes,Yes,No,6.0,7.0,no
grassleaf-rush,grassleaf rush,Juncus marginatus,grass,3-8,5,#6b5a4a,,#5b7a4b,,,part-sun,medium,"sandy,loamy",,2,,,,#6b5a4a,6-8,moderate,JUMA4,Juncus marginatus Rostk.,Graminoid,CAN:N|L48:N,Rhizomatous,Erect,Medium,Moderate,Porous,No,No,No,No,Late Spring,Spring and Summer,Summer,Summer,2.0,Medium,Low,Medium,Yes,Yes,No,5.5,6.8,no
little-walnut,little walnut,Juglans microcarpa,vase,3-8,4,#5b7a4b,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,20,,,,#3a3a34,6-8,moderate,JUMI,Juglans microcarpa Berl.,Shrub,L48:N,Single Stem,Erect,Coarse,Dense,Moderate,No,No,Yes,Yes,Mid Spring,Spring and Summer,Summer,Summer,20.0,High,Medium,Medium,Yes,Yes,Yes,5.5,6.9,no
black-walnut,black walnut,Juglans nigra,tree,3-5,5,#e8d24a,,#5b7a4b,,,full-sun,high,loamy,,100,,,,#6b5a4a,9-11,light,JUNI,Juglans nigra L.,Tree,CAN:N|L48:N,Single Stem,Erect,Medium,Porous,Porous,No,No,Yes,No,Late Spring,Spring,Fall,Fall,100.0,High,Low,High,No,Yes,No,4.6,8.2,no
needlegrass-rush,needlegrass rush,Juncus roemerianus,grass,3-5,3-5,#5b7a4b,,,,,full-sun,high,"loamy,clay",,4.9,,,,#6b5a4a,6-11,moderate,JURO,Juncus roemerianus Scheele,Graminoid,L48:N,Bunch,Erect,Coarse,Moderate,Porous,No,No,No,No,Spring,Spring,Summer,Fall,4.9,High,None,High,No,Yes,Yes,4.0,7.0,no
needlepod-rush,needlepod rush,Juncus scirpoides,grass,3-8,5,#5b7a4b,,#5b7a4b,,,shade,high,"sandy,loamy",,3,,,,#6b5a4a,6-8,heavy,JUSC,Juncus scirpoides Lam.,Graminoid,L48:N,Rhizomatous,Erect,Medium,Moderate,Porous,No,No,No,No,Late Spring,Spring and Summer,Summer,Summer,3.0,Low,None,High,Yes,Yes,No,5.6,6.8,no
poverty-rush,poverty rush,Juncus tenuis,grass,3-8,5,#5b7a4b,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,1.5,,,,#6b5a4a,6-8,light,JUTE,Juncus tenuis Willd.,Graminoid,AK:N|CAN:N|HI:I|L48:N|PR:N|SPM:N,Bunch,Erect,Fine,Porous,Porous,No,No,No,No,Late Spring,Spring and Summer,Summer,Summer,1.5,Medium,Low,Medium,Yes,Yes,Yes,4.5,7.0,no
torrey-s-rush,Torrey's rush,Juncus torreyi,grass,6-8,7,#5b7a4b,,#5b7a4b,,,full-sun,medium,"sandy,loamy",,3.1,,,,#6b5a4a,6-11,moderate,JUTO,Juncus torreyi Coville,Graminoid,CAN:N|L48:N,Rhizomatous,Erect,Coarse,Moderate,Porous,No,No,No,No,Mid Summer,Summer,Summer,Fall,3.1,High,Low,Medium,Yes,Yes,No,4.5,6.5,no
roundhead-rush,roundhead rush,Juncus validus,grass,3-11,7,#5b7a4b,,#5b7a4b,,,part-sun,high,"sandy,loamy",,3.2,,,,#6b5a4a,6-11,heavy,JUVA2,Juncus validus Coville,Graminoid,L48:N,Bunch,Erect,Coarse,Dense,Porous,No,No,No,No,Mid Summer,"Spring, Summer, Fall",Summer,Fall,3.2,Medium,Low,High,Yes,Yes,No,5.0,6.8,no
eastern-redcedar,eastern redcedar,Juniperus virginiana,tree,3-8,5,#5b7a4b,,#5b7a4b,,,part-sun,low,"sandy,loamy,clay",,50,,,,#f1f1e2,6-11,moderate,JUVI,Juniperus virginiana L.,Tree,CAN:N|L48:N,Single Stem,Conical,Medium,Dense,Dense,No,No,Yes,No,Late Spring,Spring and Summer,Summer,Fall,50.0,Medium,High,Low,Yes,Yes,Yes,4.7,8.0,yes
prairie-junegrass,prairie Junegrass,Koeleria macrantha,grass,"3,4,5,9,10,11",5,#e8d24a,,#5b7a4b,,,shade,high,"sandy,loamy",,1.5,,,,#6b5a4a,6-8,light,KOMA,Koeleria macrantha (Ledeb.) Schult.,Graminoid,AK:N|CAN:N|HI:I|L48:N,Bunch,Erect,Fine,Moderate,Porous,No,No,No,No,Late Spring,Spring and Fall,Summer,Summer,1.5,Low,High,High,Yes,Yes,No,6.0,8.0,no
littleleaf-ratany,littleleaf ratany,Krameria erecta,vase,3-8,3,#8f6fb3,,,,,full-sun,low,"sandy,loamy",,2,,,,#8f6fb3,6-11,moderate,KRER,Krameria erecta Willd. ex Schult.,Shrub,L48:N,Multiple Stem,Rounded,Fine,Porous,Porous,No,Yes,Yes,No,Early Spring,Spring and Summer,Summer,Fall,2.0,High,High,Low,Yes,Yes,No,7.0,8.5,no
roundhead-lespedeza,roundhead lespedeza,Lespedeza capitata,mound,6-8,8,#f1f1e2,,#5b7a4b,,,full-sun,low,"sandy,loamy",,2.6,,,,#e8d24a,6-11,light,LECA8,Lespedeza capitata Michx.,Forb/herb,CAN:N|L48:N,Multiple Stem,Erect,Medium,Moderate,Porous,No,No,No,No,Late Summer,Summer,Summer,Fall,2.6,High,High,Low,Yes,Yes,No,5.7,8.2,no
green-sprangletop,green sprangletop,Leptochloa dubia,grass,3-8,4,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,3,,,,#6b5a4a,3-8,heavy,LEDU,Leptochloa dubia (Kunth) Nees,Graminoid,L48:N,Bunch,Erect,Medium,Dense,Porous,No,No,No,No,Mid Spring,Spring and Summer,Spring,Summer,3.0,High,High,Medium,Yes,Yes,Yes,6.0,8.0,no
bearded-sprangletop,bearded sprangletop,Leptochloa fusca ssp. fascicularis,grass,3-5,6-8,#5b7a4b,,#5b7a4b,,,full-sun,high,"sandy,loamy",,3.3,,,,#e8d24a,6-11,heavy,LEFUF,Leptochloa fusca (L.) Kunth ssp. fascicularis (Lam.) N. Snow,Graminoid,CAN:I|L48:N|PR:N|VI:N,Multiple Stem,Erect,Fine,Porous,Porous,No,No,No,No,Summer,Spring,Summer,Fall,3.3,High,Low,High,Yes,Yes,No,4.0,7.5,no
hairy-lespedeza,hairy lespedeza,Lespedeza hirta,mound,6-8,8,#f1f1e2,,,,,full-sun,low,"sandy,loamy,clay",,6,,,,#3a3a34,9-12,heavy,LEHI2,Lespedeza hirta (L.) Hornem.,Forb/herb,CAN:N|L48:N,Multiple Stem,Erect,Medium,Dense,Dense,No,Yes,Yes,Yes,Late Summer,Summer,Fall,Winter,6.0,High,Medium,Low,Yes,Yes,Yes,5.8,6.9,no
catchfly-grass,catchfly grass,Leersia lenticularis,grass,3-5,9-11,#5b7a4b,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,2.6,,,,#b3261e,9-11,moderate,LELE2,Leersia lenticularis Michx.,Graminoid,L48:N,Rhizomatous,Erect,Fine,,,No,No,No,No,Fall,Spring,Fall,Fall,2.6,High,Low,Medium,Yes,Yes,Yes,5.0,8.0,no
common-duckweed,common duckweed,Lemna minor,mound,6-8,6-8,#5b7a4b,,#5b7a4b,,,full-sun,high,,,,,,,,6-8,,LEMI3,Lemna minor L.,Forb/herb,AK:N|CAN:N|L48:N,Single Crown,Decumbent,Fine,,,No,No,No,No,Summer,Summer,Summer,Summer,,High,None,High,No,No,No,4.1,8.8,no
rice-cutgrass,rice cutgrass,Leersia oryzoides,grass,6-8,,#5b7a4b,,,,,full-sun,high,"sandy,loamy,clay",,4.9,,,,#b3261e,3-11,heavy,LEOR,Leersia oryzoides (L.) Sw.,Graminoid,CAN:N|L48:N,Rhizomatous,Erect,Fine,Moderate,Porous,No,No,No,No,Indeterminate,Summer,Spring,Fall,4.9,High,Low,High,Yes,Yes,Yes,5.1,8.8,no
littleleaf-leadtree,littleleaf leadtree,Leucaena retusa,vase,6-11,3,#e8d24a,,#5b7a4b,,,full-sun,low,"sandy,loamy",,25,,,,#5b7ea3,6-11,heavy,LERE5,Leucaena retusa Benth.,Shrub,L48:N,Multiple Stem,Erect,Fine,Porous,Porous,No,Yes,Yes,No,Early Spring,Summer and Fall,Summer,Fall,25.0,High,High,Low,Yes,Yes,No,6.2,8.5,no
valdivia-duckweed,valdivia duckweed,Lemna valdiviana,mound,6-11,5,#5b7a4b,,#5b7a4b,,,full-sun,high,,,0.1,,,,#5b7a4b,6-8,,LEVA,Lemna valdiviana Phil.,Forb/herb,L48:N|PR:N,Stoloniferous,Decumbent,Fine,Porous,Porous,No,No,No,No,Late Spring,Summer and Fall,Summer,Summer,0.1,High,None,High,No,No,No,5.7,7.0,no
whitegrass,whitegrass,Leersia virginica,grass,3-5,8,#5b7a4b,,#5b7a4b,,,shade,medium,"sandy,loamy",,3.9,,,,#b3261e,6-11,moderate,LEVI2,Leersia virginica Willd.,Graminoid,CAN:N|L48:N,Rhizomatous,Erect,Fine,Porous,Porous,No,No,No,No,Late Summer,Spring,Summer,Fall,3.9,Low,None,Medium,Yes,Yes,No,4.5,8.5,no
northern-spicebush,northern spicebush,Lindera benzoin,vase,3-8,4,#f1f1e2,,#5b7a4b,,,part-sun,medium,"loamy,clay",,12,,,,#b3261e,6-11,light,LIBE3,Lindera benzoin (L.) Blume,Shrub,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Moderate,Porous,No,Yes,No,No,Mid Spring,Spring and Summer,Summer,Fall,12.0,Medium,Low,Medium,No,Yes,Yes,4.5,6.0,no
lavender-thrift,lavender thrift,Limonium carolinianum,mound,3-5,6-8,#8f6fb3,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,2,,,,#5b7ea3,6-11,light,LICA17,Limonium carolinianum (Walter) Britton,Forb/herb,CAN:N|L48:N,Single Crown,Erect,Medium,,,No,Yes,No,No,Summer,Spring,Summer,Fall,2.0,High,Low,High,Yes,Yes,Yes,6.0,8.5,no
dotted-blazing-star,dotted blazing star,Liatris punctata,mound,6-8,7,#8f6fb3,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,2,,,,#6b5a4a,6-11,light,LIPU,Liatris punctata Hook.,Forb/herb,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Moderate,Porous,No,Yes,No,No,Mid Summer,Summer,Summer,Fall,2.0,High,High,Medium,Yes,Yes,Yes,6.0,7.8,yes
prairie-blazing-star,prairie blazing star,Liatris pycnostachya,mound,6-8,7,#8f6fb3,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,3.5,,,,#6b5a4a,6-11,moderate,LIPY,Liatris pycnostachya Michx.,Forb/herb,L48:N,Multiple Stem,Erect,Coarse,Moderate,Porous,No,Yes,No,No,Mid Summer,Summer,Summer,Fall,3.5,High,Medium,Medium,Yes,Yes,Yes,6.0,8.5,no
sweetgum,sweetgum,Liquidambar styraciflua,tree,3-8,4,#5b7a4b,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,100,,,,#6b5a4a,6-11,moderate,LIST2,Liquidambar styraciflua L.,Tree,L48:N,Single Stem,Erect,Medium,Dense,Porous,No,No,Yes,Yes,Mid Spring,Spring and Summer,Summer,Fall,100.0,High,Low,High,Yes,Yes,Yes,4.5,7.0,no
cardinalflower,cardinalflower,Lobelia cardinalis,mound,3-5,6-8,#b3261e,,#5b7a4b,,,shade,low,loamy,,5.9,,,,#5b7ea3,6-11,moderate,LOCA2,Lobelia cardinalis L.,Forb/herb,CAN:N|L48:N,Single Stem,Erect,Medium,,,No,Yes,No,No,Summer,Spring,Summer,Fall,5.9,Low,Medium,Low,No,Yes,No,5.8,7.8,no
trumpet-honeysuckle,trumpet honeysuckle,Lonicera sempervirens,low-climber,3-5,8,#b3261e,,#5b7a4b,,,shade,medium,"loamy,clay",,16,,,,#3a3a34,6-11,moderate,LOSE,Lonicera sempervirens L.,Vine,CAN:I|L48:N,Multiple Stem,Climbing,Medium,Dense,Dense,Yes,Yes,Yes,No,Late Summer,Spring,Summer,Fall,16.0,Low,Low,Medium,No,Yes,Yes,6.0,8.5,yes
wingleaf-primrose-willow,wingleaf primrose-willow,Ludwigia decurrens,mound,6-8,7,#f1f1e2,,#5b7a4b,,,shade,high,"loamy,clay",,4.5,,,,#6b5a4a,6-11,moderate,LUDE4,Ludwigia decurrens Walter,Forb/herb,L48:N|PR:N,Single Crown,Erect,Medium,Moderate,Porous,No,No,No,No,Mid Summer,Summer,Summer,Fall,4.5,Low,None,High,No,Yes,Yes,4.0,6.0,no
marsh-seedbox,marsh seedbox,Ludwigia palustris,mound,6-8,3-5,#5b7a4b,,,,,full-sun,high,"sandy,loamy,clay",,0.2,,,,#e8d24a,6-11,light,LUPA,Ludwigia palustris (L.) Elliott,Forb/herb,CAN:N|HI:I|L48:N|PR:N,Stoloniferous,Prostrate,Fine,,,No,No,No,No,Spring,Summer,Summer,Fall,0.2,High,None,High,Yes,Yes,Yes,5.0,8.5,no
american-water-horehound,American water horehound,Lycopus americanus,mound,6-11,6,#f1f1e2,,#5b7a4b,,,shade,high,"loamy,clay",,1.8,,,,#6b5a4a,6-11,moderate,LYAM,Lycopus americanus Muhl. ex W.P.C. Barton,Forb/herb,CAN:N|L48:N,Single Crown,Erect,Coarse,Moderate,Porous,No,No,No,No,Early Summer,Summer and Fall,Summer,Fall,1.8,Low,Low,High,No,Yes,Yes,5.2,7.8,no
carolina-desert-thorn,Carolina desert-thorn,Lycium carolinianum,vase,3-5,9-11,#8f6fb3,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,9,,,,#b3261e,9-11,light,LYCA2,Lycium carolinianum Walter,Shrub,L48:N,Single Stem,Erect,Medium,Moderate,Porous,No,Yes,Yes,No,Fall,Spring,Fall,Fall,9.0,High,None,High,Yes,Yes,Yes,5.5,9.0,no
lanceleaf-loosestrife,lanceleaf loosestrife,Lysimachia lanceolata,mound,3-8,5,#8f6fb3,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,2.5,,,,#6b5a4a,6-11,moderate,LYLA,Lysimachia lanceolata Walter,Forb/herb,CAN:N|L48:N,Rhizomatous,Erect,Medium,Moderate,Porous,No,Yes,Yes,No,Late Spring,Spring and Summer,Summer,Fall,2.5,Low,Medium,Medium,Yes,Yes,Yes,5.0,7.0,no
taperleaf-water-horehound,taperleaf water horehound,Lycopus rubellus,mound,6-11,7,,,#5b7a4b,,,shade,high,"sandy,loamy,clay",,1.6,,,,#6b5a4a,6-11,moderate,LYRU,Lycopus rubellus Moench,Forb/herb,L48:N,Single Crown,Erect,Coarse,Moderate,Porous,No,No,No,No,Mid Summer,Summer and Fall,Summer,Fall,1.6,Low,Low,High,Yes,Yes,Yes,5.2,7.2,no
virginia-water-horehound,Virginia water horehound,Lycopus virginicus,mound,3-8,6-8,#f1f1e2,,,,,shade,high,"loamy,clay",,4,,,,#3a3a34,9-12,moderate,LYVI4,Lycopus virginicus L.,Forb/herb,CAN:N|L48:N,Stoloniferous,Erect,Medium,Porous,Porous,No,Yes,Yes,No,Summer,Spring and Summer,Fall,Winter,4.0,Low,Low,High,No,Yes,Yes,5.0,6.3,no
roving-sailor,roving sailor,Maurandella antirrhiniflora,mound,3-5,4,#8f6fb3,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,0.8,,,,#6b5a4a,3-5,moderate,MAAN9,Maurandella antirrhiniflora (Humb. & Bonpl. ex Willd.) Rothm.,Forb/herb,HI:I|L48:N,Single Crown,Prostrate,Medium,Porous,Porous,No,Yes,No,No,Mid Spring,Spring,Spring,Spring,0.8,High,Medium,Medium,Yes,Yes,Yes,6.8,9.0,no
southern-magnolia,southern magnolia,Magnolia grandiflora,tree,3-8,4,#f1f1e2,,#5b7a4b,,,shade,high,"loamy,clay",,100,,,,#b3261e,6-8,moderate,MAGR4,Magnolia grandiflora L.,Tree,L48:N|PR:I,Single Stem,Rounded,Coarse,Dense,Dense,Yes,Yes,Yes,Yes,Mid Spring,Spring and Summer,Summer,Summer,100.0,Low,Low,High,No,Yes,Yes,4.5,6.5,yes
osage-orange,Osage-orange,Maclura pomifera,vase,3-8,5,#5b7a4b,,#5b7a4b,,,full-sun,medium,"sandy,loamy",,35,,,,#d98a3d,6-11,moderate,MAPO,Maclura pomifera (Raf.) C.K. Schneid.,Shrub,CAN:I|L48:N,Single Stem,Erect,Coarse,Dense,Porous,No,No,Yes,No,Late Spring,Spring and Summer,Summer,Fall,35.0,High,Medium,Medium,Yes,Yes,No,4.5,7.5,no
rough-menodora,rough menodora,Menodora scabra,mound,3-8,6,#e8d24a,,#5b7a4b,,,full-sun,low,"sandy,loamy",,1,,,,#e8d24a,6-11,moderate,MESC,Menodora scabra A. Gray,Forb/herb,L48:N,Multiple Stem,Erect,Medium,Porous,Porous,No,Yes,Yes,No,Early Summer,Spring and Summer,Summer,Fall,1.0,High,High,Low,Yes,Yes,No,6.6,8.4,no
sharpwing-monkeyflower,sharpwing monkeyflower,Mimulus alatus,mound,3-5,6-8,#5b7ea3,,#5b7a4b,,,shade,high,"loamy,clay",,2.3,,,,#3a3a34,6-11,heavy,MIAL2,Mimulus alatus Aiton,Forb/herb,CAN:N|L48:N,Single Stem,Erect,Medium,Porous,Porous,No,Yes,No,No,Summer,Spring,Summer,Fall,2.3,Low,None,High,No,Yes,Yes,6.2,7.8,no
