id,common_name,botanical_name,growth_shape,growing_season_months,flowering_season_months,flower_color,foliage_color_spring,foliage_color_summer,foliage_color_fall,foliage_color_winter,sun_pref,water_pref,soil_pref,width_ft,height_ft,inflorescence,flower_count_hint,flower_zone,fruit_color,fruit_season_months,fruit_load,usda_symbol,usda_scientific_name_full,usda_growth_habit,usda_native_status,usda_growth_form,usda_shape_and_orientation,usda_foliage_texture,usda_foliage_porosity_summer,usda_foliage_porosity_winter,usda_leaf_retention,usda_flower_conspicuous,usda_fruit_conspicuous,usda_fall_conspicuous,usda_bloom_period,usda_active_growth_period,usda_fruit_seed_period_begin,usda_fruit_seed_period_end,usda_height_mature_ft,usda_shade_tolerance,usda_drought_tolerance,usda_moisture_use,usda_soil_coarse,usda_soil_medium,usda_soil_fine,usda_ph_min,usda_ph_max
calamus,calamus,Acorus calamus,mound,3-8,5,#e8d24a,,#5b7a4b,,,full-sun,high,"sandy,loamy",,5,,,,#6b5a4a,6-8,light,ACCA4,Acorus calamus L.,Forb/herb,CAN:I|L48:I,Rhizomatous,Semi-Erect,Coarse,Dense,Porous,No,No,No,No,Late Spring,Spring and Summer,Summer,Summer,5.0,High,None,High,Yes,Yes,No,5.2,7.2
southern-sugar-maple,southern sugar maple,Acer floridanum,tree,3-8,4,#e8d24a,,#5b7a4b,,,shade,medium,"sandy,loamy",,50,,,,#b3261e,3-8,heavy,ACFL,Acer floridanum (Chapm.) Pax,Tree,L48:N,Single Stem,Erect,Medium,Dense,Porous,No,No,Yes,Yes,Mid Spring,Spring and Summer,Spring,Summer,50.0,Low,Low,Medium,Yes,Yes,No,5.0,6.5
bigtooth-maple,bigtooth maple,Acer grandidentatum,vase,3-8,3-5,#e8d24a,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,38,,,,#6b5a4a,6-8,moderate,ACGR3,Acer grandidentatum Nutt.,Shrub,L48:N,Single Stem,Erect,Medium,Moderate,Porous,No,Yes,No,No,Spring,Spring and Summer,Summer,Summer,38.0,Medium,Low,Medium,Yes,Yes,Yes,6.0,8.0
indian-ricegrass,Indian ricegrass,Achnatherum hymenoides,grass,3-11,5,#e8d24a,,#5b7a4b,,,full-sun,low,"sandy,loamy",,2,,,,#6b5a4a,3-8,moderate,ACHY,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Graminoid,CAN:N|L48:N,Bunch,Erect,Medium,Moderate,Porous,No,No,No,No,Late Spring,"Spring, Summer, Fall",Spring,Summer,2.0,High,High,Low,Yes,Yes,No,6.6,8.6
common-yarrow,common yarrow,Achillea millefolium,mound,3-5,6,#f1f1e2,,#5b7a4b,,,part-sun,medium,loamy,,3,,,,#6b5a4a,6-8,moderate,ACMI2,Achillea millefolium L.,Forb/herb,AK:N|CAN:I|CAN:N|GL:N|HI:I|L48:I|L48:N|SPM:I|SPM:N,Rhizomatous,Erect,Fine,Porous,Porous,No,Yes,No,No,Early Summer,Spring,Summer,Summer,3.0,Medium,Medium,Medium,No,Yes,No,6.0,8.0
western-yarrow,western yarrow,Achillea millefolium var. occidentalis,mound,3-5,5,#f1f1e2,,#5b7a4b,,,part-sun,medium,"sandy,loamy",,3,,,,#6b5a4a,6-11,moderate,ACMIO,Achillea millefolium L. var. occidentalis DC.,Forb/herb,AK:N|CAN:N|GL:N|L48:N|SPM:N,Rhizomatous,Erect,Fine,Porous,Porous,No,Yes,No,No,Late Spring,Spring,Summer,Fall,3.0,Medium,Medium,Medium,Yes,Yes,No,6.0,8.0
boxelder,boxelder,Acer negundo,tree,3-8,3,#f1f1e2,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,60,,,,#6b5a4a,6-11,heavy,ACNE2,Acer negundo L.,Tree,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Dense,Porous,No,No,Yes,Yes,Early Spring,Spring and Summer,Summer,Fall,60.0,Low,High,Medium,Yes,Yes,Yes,5.0,7.8
dore-s-needlegrass,Dore's needlegrass,Achnatherum nelsonii ssp. dorei,grass,3-8,6,#e8d24a,,#5b7a4b,,,full-sun,low,loamy,,3,,,,#6b5a4a,6-8,moderate,ACNED,Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth,Graminoid,CAN:N|L48:N,Bunch,Erect,Fine,Moderate,Porous,No,No,No,No,Early Summer,Spring and Summer,Summer,Summer,3.0,High,High,Low,No,Yes,No,6.8,8.0
oppositeleaf-spotflower,oppositeleaf spotflower,Acmella oppositifolia var. repens,mound,6-8,8,#5b7a4b,,#5b7a4b,,,full-sun,medium,"loamy,clay",,0.7,,,,#3a3a34,6-11,moderate,ACOPR,Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen,Forb/herb,L48:N,Stoloniferous,Prostrate,Fine,Porous,Porous,No,Yes,No,No,Late Summer,Summer,Summer,Fall,0.7,High,Low,Medium,No,Yes,Yes,5.0,7.5
red-maple,red maple,Acer rubrum,tree,3-8,3,#b3261e,,#5b7a4b,,,part-sun,high,"sandy,loamy,clay",,68,,,,#b3261e,3-5,heavy,ACRU,Acer rubrum L.,Tree,CAN:N|L48:N,Single Stem,Rounded,Medium,Dense,Porous,No,Yes,Yes,Yes,Early Spring,Spring and Summer,Spring,Spring,68.0,Medium,Medium,High,Yes,Yes,Yes,4.7,7.3
silver-maple,silver maple,Acer saccharinum,tree,3-8,3,#e8d24a,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,90,,,,#6b5a4a,6-11,heavy,ACSA2,Acer saccharinum L.,Tree,CAN:N|L48:N,Single Stem,Rounded,Medium,Dense,Porous,No,Yes,Yes,Yes,Early Spring,Spring and Summer,Summer,Fall,90.0,Medium,Low,Medium,Yes,Yes,Yes,4.0,7.3
virginia-threeseed-mercury,Virginia threeseed mercury,Acalypha virginica,mound,3-11,6,#b3261e,,#5b7a4b,,,part-sun,medium,loamy,,3,,,,#b3261e,6-11,heavy,ACVI,Acalypha virginica L.,Forb/herb,L48:N,Single Crown,Erect,Coarse,Moderate,Porous,No,Yes,No,Yes,Early Summer,"Spring, Summer, Fall",Summer,Fall,3.0,Medium,Medium,Medium,No,Yes,No,5.9,7.0
common-maidenhair,common maidenhair,Adiantum capillus-veneris,mound,3-8,6-8,#f1f1e2,,#5b7a4b,,,shade,high,"loamy,clay",,1.7,,,,#6b5a4a,6-11,moderate,ADCA,Adiantum capillus-veneris L.,Forb/herb,CAN:N|HI:N|L48:N|PR:N,Rhizomatous,Erect,Fine,Porous,Porous,No,No,No,No,Summer,Spring and Summer,Summer,Fall,1.7,Low,None,High,No,Yes,Yes,6.0,8.0
ohio-buckeye,Ohio buckeye,Aesculus glabra,tree,3-8,4,#5b7a4b,,#5b7a4b,,,shade,medium,"loamy,clay",,68,,,,#6b5a4a,3-11,moderate,AEGL,Aesculus glabra Willd.,Tree,CAN:N|L48:N,Single Stem,Erect,Coarse,Dense,Porous,No,Yes,Yes,Yes,Mid Spring,Spring and Summer,Spring,Fall,68.0,Low,Medium,Medium,No,Yes,Yes,5.0,7.1
red-buckeye,red buckeye,Aesculus pavia,vase,3-8,5,#b3261e,,,,,shade,high,"sandy,loamy,clay",,25,,,,#6b5a4a,6-11,moderate,AEPA,Aesculus pavia L.,Shrub,CAN:I|L48:N,Single Stem,Erect,Coarse,Dense,Porous,No,Yes,Yes,No,Late Spring,Spring and Summer,Summer,Fall,25.0,Low,Low,High,Yes,Yes,Yes,3.7,7.0
american-century-plant,American century plant,Agave americana,mound,3-11,,#e8d24a,,#5b7a4b,,,full-sun,low,"sandy,loamy",,6,,,,#6b5a4a,,light,AGAM,Agave americana L.,Forb/herb,HI:I|L48:N|VI:I,Single Crown,Semi-Erect,Coarse,Dense,Dense,Yes,No,No,Yes,Indeterminate,"Spring, Summer, Fall",,,6.0,High,High,Low,Yes,Yes,No,6.0,8.0
crested-wheatgrass,crested wheatgrass,Agropyron cristatum,grass,"3,4,5,9,10,11",3,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,3,,,,#6b5a4a,3-8,moderate,AGCR,Agropyron cristatum (L.) Gaertn.,Graminoid,AK:I|CAN:I|L48:I,Rhizomatous,Erect,Fine,Porous,Porous,No,No,No,No,Early Spring,Spring and Fall,Spring,Summer,3.0,High,Medium,Medium,Yes,Yes,Yes,6.0,8.5
desert-wheatgrass,desert wheatgrass,Agropyron desertorum,grass,"3,4,5,9,10,11",3,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,3,,,,#6b5a4a,3-8,moderate,AGDE2,Agropyron desertorum (Fisch. ex Link) Schult.,Graminoid,L48:I,Bunch,Erect,Fine,Porous,Porous,No,No,No,No,Early Spring,Spring and Fall,Spring,Summer,3.0,High,High,Medium,Yes,Yes,Yes,6.0,8.5
spike-bentgrass,spike bentgrass,Agrostis exarata,grass,3-11,5,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,3,,,,#6b5a4a,6-8,light,AGEX,Agrostis exarata Trin.,Graminoid,AK:N|CAN:N|L48:N,Rhizomatous,Erect,Medium,Porous,Porous,No,No,No,No,Late Spring,"Spring, Summer, Fall",Summer,Summer,3.0,High,Low,Medium,Yes,Yes,Yes,5.5,7.5
redtop,redtop,Agrostis gigantea,grass,3-8,4,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,2,,,,#6b5a4a,6-8,heavy,AGGI2,Agrostis gigantea Roth,Graminoid,AK:I|CAN:I|GL:I|L48:I,Rhizomatous,Erect,Fine,Moderate,Porous,No,No,No,No,Mid Spring,Spring and Summer,Summer,Summer,2.0,High,Medium,Medium,Yes,Yes,Yes,4.5,8.0
winter-bentgrass,winter bentgrass,Agrostis hyemalis,grass,3-11,4,#5b7a4b,,#5b7a4b,,,part-sun,high,"loamy,clay",,3.5,,,,#6b5a4a,6-11,light,AGHY,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",Graminoid,CAN:N|L48:N|PR:N,Bunch,Erect,Coarse,Dense,Porous,No,No,No,No,Mid Spring,"Spring, Summer, Fall",Summer,Fall,3.5,Medium,Low,High,No,Yes,Yes,5.0,7.5
harvestlice,harvestlice,Agrimonia parviflora,mound,3-8,7,#e8d24a,,#5b7a4b,,,part-sun,high,"sandy,loamy,clay",,6,,,,#5b7a4b,6-11,moderate,AGPA6,Agrimonia parviflora Aiton,Forb/herb,CAN:N|L48:N,Multiple Stem,Erect,Medium,Porous,Porous,No,Yes,No,No,Mid Summer,Spring and Summer,Summer,Fall,6.0,Medium,Low,High,Yes,Yes,Yes,6.0,8.0
upland-bentgrass,upland bentgrass,Agrostis perennans,grass,3-11,7,#5b7a4b,,#5b7a4b,,,part-sun,high,"loamy,clay",,3.5,,,,#6b5a4a,6-11,light,AGPE,Agrostis perennans (Walter) Tuck.,Graminoid,CAN:N|L48:N,Rhizomatous,Decumbent,Medium,Moderate,Porous,No,No,No,No,Mid Summer,"Spring, Summer, Fall",Summer,Fall,3.5,Medium,Low,High,No,Yes,Yes,5.5,7.5
beaked-agrimony,beaked agrimony,Agrimonia rostellata,mound,3-5,6-8,#e8d24a,,#5b7a4b,,,part-sun,medium,"sandy,loamy",,2.3,,,,#6b5a4a,6-11,moderate,AGRO3,Agrimonia rostellata Wallr.,Forb/herb,L48:N,Single Stem,Erect,Medium,Porous,Porous,No,No,No,No,Summer,Spring,Summer,Fall,2.3,Medium,Low,Medium,Yes,Yes,No,4.5,7.0
rough-bentgrass,rough bentgrass,Agrostis scabra,grass,3-5,3,#e8d24a,,#5b7a4b,,,full-sun,medium,"loamy,clay",,2.5,,,,#6b5a4a,6-8,light,AGSC5,Agrostis scabra Willd.,Graminoid,AK:N|CAN:N|GL:N|L48:N|SPM:N,Bunch,Erect,Fine,Porous,Porous,No,No,No,Yes,Early Spring,Spring,Summer,Summer,2.5,High,Low,Medium,No,Yes,Yes,6.0,8.0
creeping-bentgrass,creeping bentgrass,Agrostis stolonifera,grass,6-8,7,#e8d24a,,#5b7a4b,,,full-sun,high,"loamy,clay",,2,,,,#6b5a4a,6-8,moderate,AGST2,Agrostis stolonifera L.,Graminoid,AK:I|CAN:I|GL:I|HI:I|L48:I|SPM:I,Stoloniferous,Erect,Fine,Moderate,Porous,No,No,No,No,Mid Summer,Summer,Summer,Summer,2.0,High,Low,High,No,Yes,Yes,5.1,7.5
tree-of-heaven,tree of heaven,Ailanthus altissima,tree,3-8,5,#5b7a4b,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,55,,,,#e8d24a,6-11,heavy,AIAL,Ailanthus altissima (Mill.) Swingle,Tree,CAN:I|HI:I|L48:I,Single Stem,Rounded,Coarse,Moderate,Moderate,No,Yes,Yes,No,Late Spring,Spring and Summer,Summer,Fall,55.0,High,Medium,Medium,Yes,Yes,Yes,4.1,7.9
common-bugle,common bugle,Ajuga reptans,mound,3-11,7,#5b7ea3,,#b3261e,,,shade,high,"loamy,clay",,0.3,,,,,,,AJRE,Ajuga reptans L.,Forb/herb,CAN:I|L48:I,Stoloniferous,Prostrate,Medium,,,No,Yes,No,Yes,Mid Summer,"Spring, Summer, Fall",,,0.3,Low,Medium,High,No,Yes,Yes,5.5,7.5
carolina-foxtail,Carolina foxtail,Alopecurus carolinianus,grass,3-5,3-5,#5b7a4b,,#5b7a4b,,,full-sun,low,"sandy,loamy,clay",,1.7,,,,#e8d24a,6-8,light,ALCA4,Alopecurus carolinianus Walter,Graminoid,CAN:N|L48:N,Bunch,Erect,Fine,Porous,Porous,No,No,No,No,Spring,Spring,Summer,Summer,1.7,High,Low,Low,Yes,Yes,Yes,4.0,7.5
water-foxtail,water foxtail,Alopecurus geniculatus,grass,3-5,6-8,#5b7a4b,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,2,,,,#e8d24a,6-11,moderate,ALGE2,Alopecurus geniculatus L.,Graminoid,AK:I|CAN:I|GL:I|L48:I|SPM:I,Stoloniferous,Erect,Fine,Porous,Porous,No,No,No,No,Summer,Spring,Summer,Fall,2.0,High,None,High,Yes,Yes,Yes,4.0,7.5
silktree,silktree,Albizia julibrissin,vase,3-8,7,#f1f1e2,,,,,full-sun,medium,"sandy,loamy,clay",,20,,,,#6b5a4a,6-11,heavy,ALJU,Albizia julibrissin Durazz.,Shrub,L48:I,Single Stem,Erect,Fine,Porous,Porous,No,Yes,Yes,No,Mid Summer,Spring and Summer,Summer,Fall,20.0,High,Medium,Medium,Yes,Yes,Yes,4.8,7.3
slender-meadow-foxtail,slender meadow foxtail,Alopecurus myosuroides,grass,3-5,6-8,#5b7a4b,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,2.3,,,,#e8d24a,6-11,moderate,ALMY,Alopecurus myosuroides Huds.,Graminoid,CAN:I|L48:I,Bunch,Decumbent,Fine,Porous,Porous,No,No,No,No,Summer,Spring,Summer,Fall,2.3,High,None,High,Yes,Yes,Yes,4.0,7.5
alligatorweed,alligatorweed,Alternanthera philoxeroides,mound,3-5,3,#f1f1e2,,#5b7a4b,,,part-sun,high,"sandy,loamy,clay",,0.2,,,,,3-8,,ALPH,Alternanthera philoxeroides (Mart.) Griseb.,Forb/herb,L48:I|PR:I,Stoloniferous,Prostrate,Medium,Porous,Porous,No,No,No,No,Early Spring,Spring,Spring,Summer,0.2,Medium,Low,High,Yes,Yes,Yes,4.8,8.8
hazel-alder,hazel alder,Alnus serrulata,vase,3-8,3-5,,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,30,,,,#6b5a4a,6-8,light,ALSE2,Alnus serrulata (Aiton) Willd.,Shrub,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Dense,Porous,No,No,No,No,Spring,Spring and Summer,Summer,Summer,30.0,High,Low,High,Yes,Yes,Yes,5.0,7.0
american-water-plantain,American water plantain,Alisma subcordatum,mound,3-8,5,#f1f1e2,,#5b7a4b,,,full-sun,high,"loamy,clay",,0.5,,,,#6b5a4a,6-8,moderate,ALSU,Alisma subcordatum Raf.,Forb/herb,CAN:N|L48:N,Single Crown,Erect,Medium,Porous,Porous,No,Yes,No,No,Late Spring,Spring and Summer,Summer,Summer,0.5,High,None,High,No,Yes,Yes,5.0,7.0
common-serviceberry,common serviceberry,Amelanchier arborea,vase,3-8,4,#f1f1e2,,,,,shade,medium,"sandy,loamy",,36,,,,#b3261e,3-8,moderate,AMAR3,Amelanchier arborea (Michx. f.) Fernald,Shrub,CAN:N|L48:N,Single Stem,Erect,Fine,Dense,Porous,No,Yes,Yes,Yes,Mid Spring,Spring and Summer,Spring,Summer,36.0,Low,Low,Medium,Yes,Yes,No,4.8,7.5
california-amaranth,California amaranth,Amaranthus californicus,mound,3-11,6-8,#b3261e,,#5b7a4b,,,full-sun,medium,"loamy,clay",,1,,,,#b3261e,6-8,heavy,AMCA,Amaranthus californicus (Moq.) S. Watson,Forb/herb,CAN:N|L48:N,Multiple Stem,Prostrate,Fine,Moderate,Porous,No,No,Yes,Yes,Summer,"Spring, Summer, Fall",Summer,Summer,1.0,High,Low,Medium,No,Yes,Yes,5.5,7.5
leadplant,leadplant,Amorpha canescens,vase,3-8,6,#8f6fb3,,#5b7a4b,,,shade,low,"sandy,loamy",,4,,,,#6b5a4a,6-11,light,AMCA6,Amorpha canescens Pursh,Shrub,CAN:N|L48:N,Multiple Stem,Semi-Erect,Coarse,Dense,Porous,No,Yes,No,No,Early Summer,Spring and Summer,Summer,Fall,4.0,Low,High,Low,Yes,Yes,No,5.5,8.0
valley-redstem,valley redstem,Ammannia coccinea,mound,3-5,,#8f6fb3,,#5b7a4b,,,full-sun,medium,"loamy,clay",,1.6,,,,,3-11,light,AMCO,Ammannia coccinea Rottb.,Forb/herb,HI:I|L48:N|PR:N|VI:N,Single Crown,Erect,Medium,Porous,Porous,No,Yes,No,No,Indeterminate,Spring,Spring,Fall,1.6,High,Medium,Medium,No,Yes,Yes,4.0,5.9
heartleaf-peppervine,heartleaf peppervine,Ampelopsis cordata,low-climber,3-8,5,#f1f1e2,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,2,,,,#3a3a34,3-8,moderate,AMCO2,Ampelopsis cordata Michx.,Vine,L48:N,Single Crown,Climbing,Coarse,Porous,Porous,No,Yes,No,No,Late Spring,Spring and Summer,Spring,Summer,2.0,Low,Low,Medium,Yes,Yes,Yes,5.2,7.4
false-indigo-bush,false indigo bush,Amorpha fruticosa,vase,6-8,5,#8f6fb3,,,,,full-sun,low,"sandy,loamy",,15,,,,#6b5a4a,6-11,heavy,AMFR,Amorpha fruticosa L.,Shrub,CAN:N|L48:N,Multiple Stem,Rounded,Fine,Dense,Porous,No,Yes,Yes,Yes,Late Spring,Summer,Summer,Fall,15.0,High,Medium,Low,Yes,Yes,No,5.0,8.5
tarweed-fiddleneck,tarweed fiddleneck,Amsinckia lycopsoides,mound,3-8,5,#e8d24a,,#5b7a4b,,,full-sun,low,loamy,,3,,,,#6b5a4a,3-8,light,AMLY,Amsinckia lycopsoides Lehm.,Forb/herb,AK:I|CAN:N|L48:N,Single Crown,Erect,Coarse,Porous,Porous,No,No,Yes,No,Late Spring,Spring and Summer,Spring,Summer,3.0,High,High,Low,No,Yes,No,5.8,8.2
roughfruit-amaranth,roughfruit amaranth,Amaranthus tuberculatus,mound,3-5,6-8,#5b7a4b,,#5b7a4b,,,full-sun,high,"loamy,clay",,6.6,,,,#3a3a34,6-11,heavy,AMTU,Amaranthus tuberculatus (Moq.) Sauer,Forb/herb,CAN:N|L48:N,Single Stem,Erect,Medium,Moderate,Porous,No,No,No,No,Summer,Spring,Summer,Fall,6.6,High,None,High,No,Yes,Yes,5.0,8.0
utah-serviceberry-amut,Utah serviceberry,Amelanchier utahensis,vase,3-8,5,#f1f1e2,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,15,,,,#b3261e,6-8,heavy,AMUT,Amelanchier utahensis Koehne,Shrub,L48:N,Multiple Stem,Erect,Coarse,Dense,Porous,No,Yes,Yes,No,Late Spring,Spring and Summer,Summer,Summer,15.0,Medium,High,Medium,Yes,Yes,Yes,5.6,8.4
utah-serviceberry-amutu,Utah serviceberry,Amelanchier utahensis var. utahensis,vase,3-8,5,#f1f1e2,,#5b7a4b,,,full-sun,medium,"sandy,loamy",,15,,,,#b3261e,6-8,light,AMUTU,Amelanchier utahensis Koehne var. utahensis,Shrub,L48:N,Multiple Stem,Semi-Erect,Coarse,Moderate,Porous,No,Yes,Yes,Yes,Late Spring,Spring and Summer,Summer,Summer,15.0,High,High,Medium,Yes,Yes,No,5.8,7.4
yerba-mansa,yerba mansa,Anemopsis californica,mound,3-8,3,#f1f1e2,,#5b7a4b,,,full-sun,high,"loamy,clay",,1.5,,,,#6b5a4a,3-5,heavy,ANCA10,Anemopsis californica (Nutt.) Hook. & Arn.,Forb/herb,L48:N,Rhizomatous,Erect,Coarse,Porous,Porous,No,Yes,No,No,Early Spring,Spring and Summer,Spring,Spring,1.5,High,None,High,No,Yes,Yes,6.5,9.0
big-bluestem,big bluestem,Andropogon gerardii,grass,6-8,6-8,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,7,,,,#6b5a4a,6-11,moderate,ANGE,Andropogon gerardii Vitman,Graminoid,CAN:N|L48:N,Bunch,Erect,Medium,Dense,Porous,No,No,No,No,Summer,Summer,Summer,Fall,7.0,High,High,Medium,Yes,Yes,Yes,6.5,8.5
bushy-bluestem,bushy bluestem,Andropogon glomeratus,grass,6-8,8,#f1f1e2,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,6.3,,,,#6b5a4a,9-12,heavy,ANGL2,"Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.",Graminoid,HI:I|L48:N|NAV:N|PR:N|VI:I,Bunch,Erect,Fine,Dense,Moderate,No,No,No,Yes,Late Summer,Summer,Fall,Winter,6.3,High,Low,High,Yes,Yes,Yes,5.0,6.3
sand-bluestem,sand bluestem,Andropogon hallii,grass,6-8,7,#e8d24a,,#5b7a4b,,,full-sun,medium,sandy,,6.4,,,,#6b5a4a,6-11,moderate,ANHA,Andropogon hallii Hack.,Graminoid,CAN:N|L48:N,Rhizomatous,Erect,Coarse,Moderate,Porous,No,No,No,No,Mid Summer,Summer,Summer,Fall,6.4,High,High,Medium,Yes,No,No,5.6,8.4
western-pearly-everlasting,western pearly everlasting,Anaphalis margaritacea,mound,3-8,6,#e8d24a,,#5b7a4b,,,part-sun,medium,loamy,,3,,,,#3a3a34,6-11,heavy,ANMA,Anaphalis margaritacea (L.) Benth.,Forb/herb,AK:N|CAN:N|L48:N|SPM:N,Rhizomatous,Erect,Coarse,Porous,Porous,No,Yes,No,No,Early Summer,Spring and Summer,Summer,Fall,3.0,Medium,Medium,Medium,No,Yes,No,6.0,7.5
splitbeard-bluestem,splitbeard bluestem,Andropogon ternarius,grass,6-8,8,#5b7a4b,,#5b7a4b,,,shade,low,"sandy,loamy",,3.9,,,,#e8d24a,6-11,moderate,ANTE2,Andropogon ternarius Michx.,Graminoid,L48:N,Bunch,Erect,Fine,Moderate,Porous,No,No,No,No,Late Summer,Summer,Summer,Fall,3.9,Low,High,Low,Yes,Yes,No,4.0,7.5
broomsedge-bluestem,broomsedge bluestem,Andropogon virginicus,grass,6-8,5,#e8d24a,,#5b7a4b,,,full-sun,medium,"loamy,clay",,3,,,,#6b5a4a,6-8,light,ANVI2,Andropogon virginicus L.,Graminoid,CAN:N|HI:I|L48:N|PB:I|PR:N,Bunch,Erect,Medium,Moderate,Porous,No,No,No,No,Late Spring,Summer,Summer,Summer,3.0,High,High,Medium,No,Yes,Yes,4.9,7.0
groundnut,groundnut,Apios americana,mound,3-8,5,#8f6fb3,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,1,,,,#6b5a4a,6-8,moderate,APAM,Apios americana Medik.,Forb/herb,CAN:N|L48:N,Single Crown,Climbing,Medium,Porous,Porous,No,Yes,No,No,Late Spring,Spring and Summer,Summer,Summer,1.0,Low,Low,Medium,Yes,Yes,Yes,6.0,7.5
indianhemp,Indianhemp,Apocynum cannabinum,mound,3-8,6-8,#f1f1e2,,#5b7a4b,,,part-sun,high,"sandy,loamy,clay",,3.3,,,,#f1f1e2,6-11,heavy,APCA,Apocynum cannabinum L.,Forb/herb,CAN:N|L48:N,Single Stem,Erect,Medium,Porous,Porous,No,No,No,No,Summer,Spring and Summer,Summer,Fall,3.3,Medium,Medium,High,Yes,Yes,Yes,4.5,7.0
arizona-threeawn,Arizona threeawn,Aristida arizonica,grass,6-8,7,#e8d24a,,#5b7a4b,,,full-sun,low,sandy,,2,,,,#6b5a4a,6-8,moderate,ARAR6,Aristida arizonica Vasey,Graminoid,L48:N,Bunch,Erect,Medium,Moderate,Porous,No,No,No,No,Mid Summer,Summer,Summer,Summer,2.0,High,High,Low,Yes,No,No,5.5,7.5
red-chokeberry,red chokeberry,Aronia arbutifolia,vase,3-8,4,#f1f1e2,,#5b7a4b,,,full-sun,high,"loamy,clay",,5,,,,#b3261e,6-11,moderate,ARAR7,Aronia arbutifolia (L.) Pers.,Shrub,CAN:N|L48:N,Colonizing,Erect,Coarse,Moderate,Porous,No,Yes,Yes,Yes,Mid Spring,Spring and Summer,Summer,Fall,5.0,High,Low,High,No,Yes,Yes,5.5,7.5
poverty-threeawn,poverty threeawn,Aristida divaricata,grass,3-8,5,#e8d24a,,#5b7a4b,,,part-sun,low,"sandy,loamy",,1.3,,,,#6b5a4a,3-8,moderate,ARDI5,Aristida divaricata Humb. & Bonpl. ex Willd.,Graminoid,L48:N,Bunch,Semi-Erect,Fine,Porous,Porous,No,No,No,No,Late Spring,Spring and Summer,Spring,Summer,1.3,Medium,High,Low,Yes,Yes,No,4.5,6.5
giant-reed,giant reed,Arundo donax,grass,3-11,5,,,#5b7a4b,,,part-sun,high,"loamy,clay",,9,,,,,,,ARDO4,Arundo donax L.,Graminoid,HI:I|L48:I|PB:I|PB:N|PR:I|VI:I,Rhizomatous,Erect,Coarse,Dense,Moderate,No,No,No,No,Late Spring,"Spring, Summer, Fall",,,9.0,Medium,Low,High,No,Yes,Yes,4.8,7.0
prairie-sagewort,prairie sagewort,Artemisia frigida,mound,"3,4,5,9,10,11",6-8,#f1f1e2,,,,,part-sun,low,"sandy,loamy,clay",,2,,,,#f1f1e2,6-11,heavy,ARFR4,Artemisia frigida Willd.,Subshrub,AK:N|CAN:N|L48:N,Rhizomatous,Rounded,Fine,Moderate,Porous,No,No,No,No,Summer,Spring and Fall,Summer,Fall,2.0,Medium,High,Low,Yes,Yes,Yes,7.0,9.0
giant-cane,giant cane,Arundinaria gigantea,grass,3-5,,,,,,,full-sun,medium,"sandy,loamy,clay",,25,,,,,,,ARGI,Arundinaria gigantea (Walter) Muhl.,Graminoid,L48:N,Rhizomatous,Erect,Medium,Dense,Dense,No,No,No,Yes,,Spring,,,25.0,High,Medium,Medium,Yes,Yes,Yes,5.0,6.9
white-sagebrush,white sagebrush,Artemisia ludoviciana,mound,3-8,7,#f1f1e2,,,,,full-sun,medium,"sandy,loamy,clay",,3,,,,#f1f1e2,6-11,moderate,ARLU,Artemisia ludoviciana Nutt.,Forb/herb,CAN:N|L48:I|L48:N,Rhizomatous,Erect,Medium,Porous,Moderate,No,No,No,No,Mid Summer,Spring and Summer,Summer,Fall,3.0,High,Medium,Medium,Yes,Yes,Yes,6.0,9.0
crested-pricklypoppy,crested pricklypoppy,Argemone polyanthemos,mound,6-8,4,#f1f1e2,,#5b7a4b,,,full-sun,low,"sandy,loamy",,3,,,,,6-11,heavy,ARPO2,Argemone polyanthemos (Fedde) G.B. Ownbey,Forb/herb,L48:N,Single Stem,Erect,Coarse,Porous,Porous,No,Yes,Yes,No,Mid Spring,Summer,Summer,Fall,3.0,High,High,Low,Yes,Yes,No,7.0,8.5
