id,flower_color,foliage_color_spring,foliage_color_summer,foliage_color_fall,foliage_color_winter,fruit_color,inflorescence,flower_count_hint,flower_zone,source
texas-bluebonnet,#3f5fa8,#6fa86f,#5f8c62,#8a8c6a,#6a6f58,none,spike/raceme,30,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
standing-cypress,#d63a2b,#6f9a63,#578055,#8a8a62,#6a6a55,none,spike/raceme,80,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
engelmann-daisy,#e8c941,#6fa06a,#5b8c55,#8a8c68,#6a6f58,none,umbel/head,35,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
chocolate-daisy,#e8c941,#7aa06a,#628c5f,#8a8a62,#6a6a55,none,umbel/head,25,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
stiff-goldenrod,#e6c033,#6f9a63,#578055,#a8965f,#7a6f55,none,umbel/head,90,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
maximilian-sunflower,#e8c33d,#6f9a63,#578055,#a89a5f,#7a6f55,none,scatter,60,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
prairie-penstemon,#d9c2e0,#6fa06a,#57805a,#8a8a62,#6a6a55,none,spike/raceme,25,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
prairie-blazing-star,#9a5fb8,#6f9a63,#578055,#8a8a62,#6a6a55,none,spike/raceme,70,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
narrowleaf-gayfeather,#9a5fb8,#6f9a6a,#5f8c5f,#8a8a62,#6a6a55,none,spike/raceme,60,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
dotted-blazing-star,#9a5fb8,#6f9a6a,#5f8c5f,#8a8a62,#6a6a55,none,spike/raceme,50,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
leavenworth-eryngo,#8f5fb8,#7a9a7a,#6f8c72,#8a7a8a,#6a5f6a,none,umbel/head,30,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
oklahoma-redbud,#c4386f,#7aa86b,#4f7c55,#d8c24a,#6a5f4a,#8a6f4a,scatter,300,full,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
pitchers-clematis,#8f6fb3,,#5b7a4b,,,,,,,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
yellow-passionflower,#e8d24a,,#5b7a4b,#e8d24a,,#8f6fb3,,,,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
angularfruit-milkvine,,,,,,,,,,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
yellow-puff,#eecb3a,#6fa06a,#5b8c55,#8a8c5f,#6a6a50,#7a6a4f,umbel/head,45,full,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
blue-mistflower,#8fb0e8,#5f8c72,#4c705f,#6a6f57,#6a6f57,#7fb3d5,flat-topped corymb,45,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
least-daisy,#f2f2e6,#7d9a86,#708c7a,#8c8a70,#7a7a68,none,umbel/head,15,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
fineleaf-fournerved-daisy,#e8c941,#6f8c64,#6f8c64,#7a7a64,#707058,none,umbel/head,15,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
topeka-coneflower,#c98ab5,#6fa06a,#57805a,#8a8a62,#6a6a55,#6b5a4a,umbel/head,12,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
narrowleaf-snakeherb,#c9a8d9,#6f8c64,#6f8c64,#7a7a64,#707058,none,scatter,20,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
bur-oak,#e8d24a,,#5b7a4b,,,#6b5a4a,,,,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
blackjack-oak,#e8d24a,,,,,#6b5a4a,,,,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
shumard-s-oak,#e8d24a,,#5b7a4b,,,#6b5a4a,,,,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
post-oak,#e8d24a,,#5b7a4b,,,#6b5a4a,,,,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
live-oak,#e8d24a,,#5b7a4b,,,#6b5a4a,,,,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
white-rosinweed,#f4f1e2,,,,,none,spike/raceme,,upper,John Syrinek: authored drawing choice carried over unchanged from plants.csv at commit 2012c25 (nl-3s5.21)
